%lon       lat      area     depth_w  grid   subregion  
-68.575   41.075   23.26    52.2     368    2          
-68.575   41.125   23.24    57.5     369    2          
-68.575   41.175   23.22    60.6     370    2          
-68.575   41.225   23.20    60.1     371    2          
-68.575   41.275   23.19    60.9     372    2          
-68.575   41.325   23.17    66.9     373    2          
-68.575   41.375   23.15    78.0     374    2          
-68.575   41.425   23.13    89.0     375    2          
-68.575   41.475   23.12    94.0     376    2          
-68.575   41.525   23.10    106.9    377    1          
-68.575   41.575   23.08    126.0    378    1          
-68.575   41.625   23.06    154.0    379    1          
-68.575   41.675   23.04    168.0    380    1          
-68.575   41.725   23.03    173.9    381    1          
-68.575   41.775   23.01    182.0    382    1          
-68.575   41.825   22.99    173.0    383    1          
-68.525   40.225   23.56    277.8    384    5          
-68.525   40.275   23.54    141.5    385    4          
-68.525   40.325   23.52    106.6    386    4          
-68.525   40.375   23.50    98.4     387    4          
-68.525   40.425   23.49    91.7     388    4          
-68.525   40.475   23.47    90.0     389    4          
-68.525   40.525   23.45    81.2     390    4          
-68.525   40.575   23.43    72.5     391    4          
-68.525   40.625   23.42    64.8     392    4          
-68.525   40.675   23.40    58.4     393    4          
-68.525   40.725   23.38    53.9     394    4          
-68.525   40.775   23.36    49.8     395    4          
-68.525   40.825   23.35    56.8     396    2          
-68.525   40.875   23.33    52.5     397    2          
-68.525   40.925   23.31    43.8     398    2          
-68.525   40.975   23.29    49.3     399    2          
-68.525   41.025   23.27    48.4     400    2          
-68.525   41.075   23.26    51.6     401    2          
-68.525   41.125   23.24    51.6     402    2          
-68.525   41.175   23.22    57.2     403    2          
-68.525   41.225   23.20    61.8     404    2          
-68.525   41.275   23.19    56.9     405    2          
-68.525   41.325   23.17    64.0     406    2          
-68.525   41.375   23.15    75.9     407    2          
-68.525   41.425   23.13    85.9     408    2          
-68.525   41.475   23.12    91.9     409    2          
-68.525   41.525   23.10    97.9     410    2          
-68.525   41.575   23.08    111.9    411    1          
-68.525   41.625   23.06    151.9    412    1          
-68.525   41.675   23.04    179.0    413    1          
-68.525   41.725   23.03    167.9    414    1          
-68.525   41.775   23.01    194.0    415    1          
-68.525   41.825   22.99    200.0    416    1          
-68.475   40.225   23.56    174.5    417    5          
-68.475   40.275   23.54    144.1    418    4          
-68.475   40.325   23.52    119.0    419    4          
-68.475   40.375   23.50    106.2    420    4          
-68.475   40.425   23.49    97.3     421    4          
-68.475   40.475   23.47    89.9     422    4          
-68.475   40.525   23.45    87.9     423    4          
-68.475   40.575   23.43    76.9     424    4          
-68.475   40.625   23.42    69.3     425    4          
-68.475   40.675   23.40    62.4     426    4          
-68.475   40.725   23.38    56.7     427    2          
-68.475   40.775   23.36    48.6     428    2          
-68.475   40.825   23.35    56.3     429    2          
-68.475   40.875   23.33    46.6     430    2          
-68.475   40.925   23.31    47.4     431    2          
-68.475   40.975   23.29    48.8     432    2          
-68.475   41.025   23.27    48.7     433    2          
-68.475   41.075   23.26    51.8     434    2          
-68.475   41.125   23.24    51.5     435    2          
-68.475   41.175   23.22    56.3     436    2          
-68.475   41.225   23.20    57.0     437    2          
-68.475   41.275   23.19    57.0     438    2          
-68.475   41.325   23.17    64.9     439    2          
-68.475   41.375   23.15    74.7     440    2          
-68.475   41.425   23.13    79.0     441    2          
-68.475   41.475   23.12    85.8     442    2          
-68.475   41.525   23.10    83.9     443    2          
-68.475   41.575   23.08    84.4     444    2          
-68.475   41.625   23.06    105.3    445    1          
-68.475   41.675   23.04    165.9    446    1          
-68.475   41.725   23.03    179.0    447    1          
-68.475   41.775   23.01    206.0    448    1          
-68.475   41.825   22.99    209.0    449    1          
-68.475   41.875   22.97    194.0    450    1          
-68.425   40.225   23.56    172.1    451    5          
-68.425   40.275   23.54    153.2    452    5          
-68.425   40.325   23.52    129.8    453    4          
-68.425   40.375   23.50    109.8    454    4          
-68.425   40.425   23.49    98.9     455    4          
-68.425   40.475   23.47    92.8     456    4          
-68.425   40.525   23.45    89.6     457    4          
-68.425   40.575   23.43    82.9     458    4          
-68.425   40.625   23.42    70.9     459    4          
-68.425   40.675   23.40    65.3     460    4          
-68.425   40.725   23.38    57.3     461    2          
-68.425   40.775   23.36    48.2     462    2          
-68.425   40.825   23.35    50.7     463    2          
-68.425   40.875   23.33    45.1     464    2          
-68.425   40.925   23.31    47.2     465    2          
-68.425   40.975   23.29    43.7     466    2          
-68.425   41.025   23.27    42.6     467    2          
-68.425   41.075   23.26    47.9     468    2          
-68.425   41.125   23.24    33.1     469    2          
-68.425   41.175   23.22    46.3     470    2          
-68.425   41.225   23.20    52.1     471    2          
-68.425   41.275   23.19    53.9     472    2          
-68.425   41.325   23.17    59.9     473    2          
-68.425   41.375   23.15    67.9     474    2          
-68.425   41.425   23.13    68.9     475    2          
-68.425   41.475   23.12    71.9     476    2          
-68.425   41.525   23.10    47.9     477    2          
-68.425   41.575   23.08    51.0     478    2          
-68.425   41.625   23.06    49.7     479    2          
-68.425   41.675   23.04    85.3     480    2          
-68.425   41.725   23.03    175.9    481    1          
-68.425   41.775   23.01    169.8    482    1          
-68.425   41.825   22.99    211.9    483    1          
-68.425   41.875   22.97    195.9    484    1          
-68.375   40.225   23.56    186.2    485    5          
-68.375   40.275   23.54    155.0    486    5          
-68.375   40.325   23.52    140.2    487    4          
-68.375   40.375   23.50    113.8    488    4          
-68.375   40.425   23.49    102.9    489    4          
-68.375   40.475   23.47    96.3     490    4          
-68.375   40.525   23.45    93.7     491    4          
-68.375   40.575   23.43    84.9     492    4          
-68.375   40.625   23.42    75.6     493    4          
-68.375   40.675   23.40    67.2     494    4          
-68.375   40.725   23.38    57.8     495    2          
-68.375   40.775   23.36    51.2     496    2          
-68.375   40.825   23.35    48.6     497    2          
-68.375   40.875   23.33    44.9     498    2          
-68.375   40.925   23.31    50.5     499    2          
-68.375   40.975   23.29    46.3     500    2          
-68.375   41.025   23.27    45.3     501    2          
-68.375   41.075   23.26    29.1     502    2          
-68.375   41.125   23.24    48.5     503    2          
-68.375   41.175   23.22    51.6     504    2          
-68.375   41.225   23.20    53.7     505    2          
-68.375   41.275   23.19    56.0     506    2          
-68.375   41.325   23.17    53.9     507    2          
-68.375   41.375   23.15    61.0     508    2          
-68.375   41.425   23.13    59.0     509    2          
-68.375   41.475   23.12    54.9     510    2          
-68.375   41.525   23.10    50.0     511    2          
-68.375   41.575   23.08    25.9     512    2          
-68.375   41.625   23.06    18.6     513    2          
-68.375   41.675   23.04    43.0     514    2          
-68.375   41.725   23.03    91.0     515    2          
-68.375   41.775   23.01    201.9    516    1          
-68.375   41.825   22.99    213.9    517    1          
-68.375   41.875   22.97    187.0    518    1          
-68.375   41.925   22.95    191.0    519    1          
-68.325   40.225   23.56    237.2    520    5          
-68.325   40.275   23.54    171.9    521    5          
-68.325   40.325   23.52    144.9    522    4          
-68.325   40.375   23.50    121.1    523    4          
-68.325   40.425   23.49    112.8    524    4          
-68.325   40.475   23.47    102.5    525    4          
-68.325   40.525   23.45    94.3     526    4          
-68.325   40.575   23.43    89.0     527    4          
-68.325   40.625   23.42    79.7     528    4          
-68.325   40.675   23.40    69.1     529    4          
-68.325   40.725   23.38    58.1     530    2          
-68.325   40.775   23.36    48.9     531    2          
-68.325   40.825   23.35    54.0     532    2          
-68.325   40.875   23.33    42.8     533    2          
