Station Sequence Number	Station Latitude	Station Longitude	Vs30 (m/s)	Z1.0 (m)	Z2.5 (m)	Station Name	BasinID	Basin - Non Basin Label
100520	34.224	-117.331	760	0	1480	San Bernardino - Devil Canyon Penstock	0	SBMR
100522	34.2709	-118.744	260	320	1080	Simi Valley	1	SV
100528	34.123	-117.54	379.5	180	380	Rancho Cucamonga - Baseline & Rochester	3	SBCB
100540	34.049	-116.94	760	0	1920	Yucaipa; Oak Glen Christian Conf	0	SBMR
100543	34.2623	-116.921	356	0	1320	Big Bear Solar Observatory	0	SBMR
100544	33.4915	-116.667	681.2	0	1100	"Buzz Northern'S Place, Terwilliger, Ca, Usa"	0	IER
100545	33.9733	-117.327	360	180	320	Riverside Surface	1	IER
100562	34.1484	-118.171	639.74	20	700	Pasadena (PASA)	0	GR
100605	33.9905	-118.362	394.1	560	2940	Baldwin Hills Oil	0	BH
100607	33.892	-117.161	739.23	0	0	Perris Dam	0	IER
100609	34.3148	-117.546	433.34	0	1480	"Wrightwood, Lone Pine Canyon"	1	SGMR
80000001	33.6122	-117.041	575.75	0	0	Bachelor Mountain	0	IER
80000005	34.2436	-118.673	464.333	20	320	Black Canyon	0	SMMR
80000009	34.2001	-118.36	320.333	340	1200	Burbank Airport  (aka BBA2)	3	SFB
80000012	33.9138	-116.784	416.933	0	1240	Cabazon	1	SJMR
80000013	34.2712	-117.424	472	0	1260	Cajon Mountain	0	SBMR
80000016	34.2204	-119.009	422.855	320	320	Camarillo	2	VB
80000021	33.5654	-116.737	416.933	0	1300	"Cary Ranch, Anza, CA, USA"	0	IER
80000025	34.298	-117.358	598.427	0	1320	Cedar Springs Dam	0	SBMR
80000026	33.8735	-118.039	234.133	760	4060	Cerritos Fire Station	3	LAB
80000035	34.0355	-117.112	422.855	320	2060	Crafton Hills	0	IER
80000036	34.4242	-118.662	480.521	320	4440	Del Valle Training Center	0	SCMR
80000039	33.5667	-116.631	361	20	20	Dunn Ranch	0	SJMR
80000043	33.6739	-117.326	363.933	0	0	Elsinore	1	IER
80000046	34.4092	-118.921	378	840	6560	Fillmore	1	SCMR
80000047	33.4947	-116.602	562.002	20	20	Ford Ranch Anza CA USA	0	SJMR
80000050	33.6689	-116.674	281.5	0	0	Garner Valley	1	SJMR
80000052	34.2212	-118.188	565.767	20	320	Gould	0	SGMR
80000058	33.7081	-117.002	595.649	0	0	Hemet 2	0	IER
80000061	33.7294	-116.768	677.539	0	840	"Idyllwild Water Reclamation, Idyllwild, CA, USA"	0	SJMR
80000066	34.197	-117.285	297	0	0	Inspiration point	0	SBMR
80000067	33.7331	-117.751	461.562	0	1360	"Irvine USD, Northwood High"	0	MVSMR
80000068	33.7602	-117.477	416.933	0	0	Ivy Glen	1	IER
80000069	33.5519	-116.613	647.055	20	20	Jim Saunders Place Anza CA USA	0	SJMR
80000072	33.236	-116.759	646.128	0	0	Lake Henshaw	0	PR
80000073	33.7442	-117.391	501.798	0	0	Lake Mathews Hills	0	IER
80000074	33.8174	-117.445	369.239	0	0	Lake Mathews Shore	0	IER
80000075	34.0445	-118.776	421.529	0	0	Latigo	0	SMMR
80000076	33.9405	-118.421	447.282	760	3760	LAX Fire Station	3	LAB
80000078	34.1741	-119.156	251.133	520	2920	Levy	3	VB
80000094	33.7403	-118.335	367	0	1580	Mira Catalina School	0	PVH
80000096	33.5039	-117.14	363.933	0	0	Moraga	0	IER
80000097	33.9474	-117.173	451.188	0	1140	Moreno	1	IER
80000107	34.3436	-118.614	471.573	320	3080	Oat Mountain	0	SCMR
80000109	33.573	-117.763	355.6	0	1900	Pacific Marine Mammal Center	0	MVSMR
80000113	33.4914	-117.063	325	0	0	Pechanga	1	IER
80000116	34.0044	-118.807	432.686	0	1000	Point Dume	0	SMMR
80000117	33.6871	-116.924	600.105	0	0	Polly Butte 2	0	IER
80000118	33.924	-117.617	397.188	200	920	Prado Wetlands	3	SBCB
80000131	34.001	-118.013	488.485	320	1960	Rose Hills Cemetery 2	0	CHELAR
80000133	33.6515	-116.739	664.108	0	1020	"Rouse Ridge, CA, USA"	0	SJMR
80000142	33.4577	-117.171	581.985	0	0	"Santa Margarita Ecological Reserve, CA, USA"	0	MVSMR
80000150	34.348	-116.827	622.141	0	740	Silver Peak	0	SBMR
80000152	33.8336	-116.797	499	0	1380	Skyland Ranch	0	SJMR
80000158	34.3336	-119.014	410.279	160	1360	South Mountain	0	SCMR
80000161	34.031	-117.455	422.855	160	320	Stringfellow Superfund Site Jurupa Mountains	0	IER
80000166	33.6192	-116.681	663.452	0	0	"TMSP, CA, USA"	0	SJMR
80000167	33.5234	-116.426	638.577	20	20	Toro Peak Riverside Co CA USA	0	SJMR
80000174	33.7362	-117.158	419.188	0	0	Valley	1	IER
80000179	33.5736	-116.675	416.933	0	1200	"Walmic Ranch, Anza, CA, USA"	0	IER
80000184	34.1968	-116.406	429.188	0	1560	Yucca Valley	1	MBR
