Station Sequence Number	Station Latitude	Station Longitude	Vs30 (m/s)	Z1.0 (m)	Z2.5 (m)	Station Name	BasinID	Basin - Non Basin Label			Num	Simulation name	Network	Code	Lat	Lon
80000117	33.6871	-116.924	600.105	0	0	Polly Butte 2	0	IER			151	station.151	CE	13891	33.7157	-117.9037
1310	33.699	-117.267	646	0	0	Canyon Lake Vacation Dr&San Joaq	0	IER			573	station.573	CI	FMA	33.71828	-118.28485
3024	33.7	-117.88	262.05	360	3680	Santa Ana - MacArthrur & Bristol	3	LAB			192	station.192	CE	14159	33.722	-118.3103
100390	33.7043	-117.886	222	400	3720	Santa Ana	3	LAB			715	station.715	CI	Q0021	33.7229	-118.05374
1225	33.7077	-116.717	845.41	0	0	Idyllwild - Keenwild Fire Sta.	0	SJMR			173	station.173	CE	14007	33.723	-118.0257
80000058	33.7081	-117.002	595.649	0	0	Hemet 2	0	IER			748	station.748	CI	Q0079	33.72404	-118.05381
100107	33.7126	-118.294	393.26	0	1540	Fort Macarthur Park	0	PVH			720	station.720	CI	Q0029	33.72651	-117.74789
100173	33.7141	-116.712	739.55	0	0	"Keenwild Fire Station, Mountain Center, Ca, Usa"	0	SJMR			172	station.172	CE	14006	33.7269	-118.0008
1352	33.715	-117.191	353.54	0	0	Sun City - I215 & McCall Blvd	1	IER			199	station.199	CE	14256	33.729	-118.258
511	33.719	-117.937	270.54	540	4520	Fountain Valley - Euclid	3	LAB			169	station.169	CE	14003	33.7295	-118.2905
284	33.722	-118.309	477.92	0	1540	San Pedro - Palos Verdes	0	PVH			726	station.726	CI	Q0038	33.73058	-117.4276
100225	33.723	-118.026	319.9	580	3640	Huntington Beach - Springdale & Heil	3	LAB			195	station.195	CE	14187	33.732	-118.258
272	33.729	-116.979	328.09	0	0	Hemet Fire Station	1	IER			824	station.824	CI	VLY	33.73615	-117.15806
80000061	33.7294	-116.768	677.539	0	840	"Idyllwild Water Reclamation, Idyllwild, CA, USA"	0	SJMR			207	station.207	CE	14532	33.738	-118.3063
80000067	33.7331	-117.751	461.562	0	1360	"Irvine USD, Northwood High"	0	MVSMR			654	station.654	CI	MIS	33.7403	-118.33517
80000174	33.7362	-117.158	419.188	0	0	Valley	1	IER			150	station.150	CE	13890	33.742	-117.8938
539	33.74	-118.335	508.83	0	1580	Rancho Palos Verdes - Luconia	0	PVH			758	station.758	CI	RPV	33.74346	-118.40412
80000094	33.7403	-118.335	367	0	1580	Mira Catalina School	0	PVH			640	station.640	CI	LMH	33.74418	-117.39135
3021	33.742	-117.894	283.73	440	4780	Santa Ana - 1st & Franklin	3	LAB			204	station.204	CE	14404	33.7455	-118.3969
100201	33.7435	-118.404	529.99	0	1540	Rancho Palos Verdes	0	PVH			795	station.795	CI	SPH	33.74667	-118.33467
1299	33.744	-116.931	351.68	0	0	Hemet - Acacia & Stanford	1	IER			170	station.170	CE	14004	33.7472	-118.2603
80000073	33.7442	-117.391	501.798	0	0	Lake Mathews Hills	0	IER			162	station.162	CE	13924	33.7475	-117.1274
1288	33.747	-116.715	632.54	0	0	Idyllwild - Hwy 243 & Pine Crest	0	SJMR			149	station.149	CE	13889	33.7478	-117.8439
3020	33.748	-117.844	305.54	320	2040	Santa Ana - I5 & 4th St	3	LAB			84	station.84	NP	5449	33.74861	-117.87501
1346	33.748	-117.127	381.71	0	0	Homeland - Hwy 74 & Sultanas	1	IER			206	station.206	CE	14406	33.749	-118.272
1308	33.751	-117.015	333.7	0	0	Hemet - Cawston & Devonshire	1	IER			218	station.218	CE	14784	33.75	-118.278
294	33.757	-118.084	296.62	600	3040	Seal Beach - Office Bldg	3	LAB			217	station.217	CE	14783	33.75	-118.275
269	33.76	-116.96	330.74	0	0	San Jacinto - Valley Cemetary	1	IER			698	station.698	CI	PVR	33.75237	-118.37171
80000068	33.7602	-117.477	416.933	0	0	Ivy Glen	1	IER			211	station.211	CE	14578	33.757	-118.085
1656	33.766	-117.918	283.73	540	4800	Garden Grove - Hwy 22 & Harbor	3	LAB			145	station.145	CE	13885	33.7571	-117.9558
293	33.768	-118.196	322	680	2640	LB - City Hall	3	LAB			171	station.171	CE	14005	33.7588	-118.1309
3000	33.768	-117.85	301.93	320	2100	Santa Ana - Grand & Santa Clara	3	LAB			596	station.596	CI	IVY	33.76025	-117.47678
3014	33.777	-117.834	314.88	320	2020	Orange - Hwy 22/Hwy 55 Grounds	3	LAB			242	station.242	CE	14871	33.7631	-118.1682
292	33.787	-118.356	473.25	400	1860	Rolling Hills Est-Rancho Vista	0	PVH			144	station.144	CE	13884	33.7667	-117.9178
1350	33.787	-117.23	518	0	0	Perris - San Jacinto & C Street	0	IER			99	station.99	CE	13069	33.7676	-117.8497
1287	33.787	-116.959	306.76	0	1280	San Jacinto CDF Fire Station 25	1	IER			208	station.208	CE	14533	33.768	-118.195
1302	33.787	-116.41	292.32	700	1000	Rancho Mirage - G Ford & B Hope	3	IVB			210	station.210	CE	14560	33.7686	-118.1965
3075	33.788	-117.844	318.11	320	2100	Orange (Chapman)	3	LAB			716	station.716	CI	Q0022	33.77017	-117.50119
100507	33.7903	-118.199	229.32	700	2960	State Street	3	LAB			733	station.733	CI	Q0048	33.77234	-117.80335
100431	33.7953	-117.609	699	0	1180	Pleasants Peak	0	MVSMR			14	station.14	NP	710	33.77415	-118.32162
100175	33.798	-118.088	261.91	660	3680	Long Beach Water Reclm Plant 1	3	LAB			780	station.780	CI	SKY	33.77575	-117.10712
100093	33.8078	-117.981	265.59	700	4640	Barre Substation	3	LAB			29	station.29	NP	5106	33.77674	-118.11899
3070	33.808	-116.968	244	0	1480	Mt. San Jacinto Campus	1	IER			197	station.197	CE	14241	33.7772	-118.1334
538	33.812	-118.27	305.14	740	3320	Carson - Catskill Ave	3	LAB			135	station.135	CE	13875	33.7774	-117.8335
581	33.817	-117.951	269.29	620	4120	Anaheim - W Ball Rd	3	LAB			544	station.544	AZ	CSLB	33.7793	-118.1126
80000074	33.8174	-117.445	369.239	0	0	Lake Mathews Shore	0	IER			694	station.694	CI	PRR	33.78	-117.23333
3113	33.818	-118.108	243.55	720	4000	Long Beach - Los Coyotes & Palo Verde	3	LAB			233	station.233	CE	14835	33.7809	-118.2618
