station_id,station_name,station_sequence_no,station_id_no_nga,station_latitude,station_longitude,vs30_selected_for_analysis,new_z1_cvmsi,new_z25_cvmsi
4555,Valley,80000174,CI_VLY,33.7361,-117.158,419.188,0,0
4417,Valley Oaks Golf Course,80000175,CI_VOG,36.321,-119.382,341.294,0,0
4461,"Virginia City, Nevada gps",80000176,NN_VCN,39.2956,-119.65,542.74,0,0
4558,Volcano Peak 2,80000177,CI_WVP2,35.9494,-117.818,626.4,0,1120
4408,"Walmic Ranch, Anza, CA, USA",80000179,AZ_WMC,33.5736,-116.675,416.933,0,1200
4475,"Washoe County DEM, Nevada",80000180,NN_WDEM,39.5841,-119.81,420.744,0,0
4540,Wilsona 2,80000181,CI_WLS2,34.579,-117.719,320.333,0,700
4472,Yeguas Mtn. 2,80000182,CI_YEG2,35.4383,-119.963,429.734,0,6660
4466,"Yerington, Nevada w84gm",80000183,NN_YER,38.9852,-119.241,525.82,0,0
4506,Yucca Valley,80000184,CI_YUC,34.1968,-116.406,429.188,0,1560
4451,Yuha Desert,80000185,CI_YUH2,32.6475,-115.922,655.317,700,1640
4152,Duarte - Huntington & Highland,91000001,CE_23177,34.141,-117.967,387.6,160,1640
4153,Baldwin Park - I10 & Baldwin Park Blvd,91000002,CE_23773,34.067,-117.985,294.667,380,3060
4154,Glendora - Gladstone & Sunflower,91000003,CE_23836,34.114,-117.851,416.933,160,1180
4155,El Monte - Valley Blvd & Santa Anita,91000004,CE_24114,34.075,-118.042,320.333,380,2820
4156,Los Angeles - Marengo & State,91000005,CE_24363,34.058,-118.21,427.521,320,2220
4157,Lone Pine Canyon; Clyde Ranch,91000006,NP_5034,34.323,-117.565,365.6,0,1400
4159,Palm Desert - Mesa View & Portola,91000009,CE_12502,33.696,-116.387,416.933,40,40
4160,Costa Mesa - City Hall Grounds,91000011,CE_13215,33.663,-117.902,380.188,320,3740
4161,Irvine - Alton & Sand Canyon,91000012,CE_13441,33.66,-117.775,279,0,1820
4162,La Mirada - Civic Center,91000015,CE_14937,33.905,-118.011,380.188,640,3000
4163,Monrovia - Colorado & Myrtle,91000016,CE_23024,34.147,-117.999,387.6,160,1660
4164,West Covina - Azusa & Fairgrove,91000017,CE_23057,34.043,-117.912,400.997,160,2320
4165,Ontario - Hwy 60 & Vineyard,91000018,CE_23417,34.033,-117.607,320.333,200,320
4166,Los Angeles - I5 & Pasadena Ave,91000019,CE_24020,34.075,-118.218,427.521,320,1840
