Num	Simulation name	Network	Code	Lat	Lon
155	station.155	CE	13913	33.9188	-117.4877
156	station.156	CE	13914	33.951	-117.3883
157	station.157	CE	13915	33.9792	-117.3439
158	station.158	CE	13916	33.8945	-117.3219
159	station.159	CE	13918	33.9035	-117.5613
160	station.160	CE	13921	33.9753	-117.4865
161	station.161	CE	13922	33.6689	-117.332
162	station.162	CE	13924	33.7475	-117.1274
163	station.163	CE	13925	33.9019	-117.2355
164	station.164	CE	13927	33.9212	-117.1731
165	station.165	CE	13928	33.7867	-117.2305
166	station.166	CE	13930	33.7155	-117.1915
167	station.167	CE	14001	33.802	-118.215
168	station.168	CE	14002	33.7847	-118.1734
169	station.169	CE	14003	33.7295	-118.2905
170	station.170	CE	14004	33.7472	-118.2603
171	station.171	CE	14005	33.7588	-118.1309
172	station.172	CE	14006	33.7269	-118.0008
173	station.173	CE	14007	33.723	-118.0257
174	station.174	CE	14017	33.9896	-118.3121
175	station.175	CE	14026	33.8892	-118.0469
176	station.176	CE	14027	33.9283	-118.0576
177	station.177	CE	14028	33.9622	-118.0655
178	station.178	CE	14035	33.9927	-118.3963
179	station.179	CE	14036	33.8688	-118.3683
180	station.180	CE	14037	33.7967	-118.338
181	station.181	CE	14038	33.8132	-118.3702
182	station.182	CE	14041	33.991	-118.1212
183	station.183	CE	14043	33.9385	-118.3269
184	station.184	CE	14044	33.9763	-118.3534
185	station.185	CE	14050	33.8337	-118.3559
186	station.186	CE	14052	33.888	-118.41
187	station.187	CE	14058	33.898	-118.2088
188	station.188	CE	14059	33.8758	-118.2397
189	station.189	CE	14060	33.999	-118.1782
190	station.190	CE	14125	33.8179	-118.1581
191	station.191	CE	14127	33.81	-118.15
192	station.192	CE	14159	33.722	-118.3103
193	station.193	CE	14175	33.9307	-118.2143
194	station.194	CE	14176	33.948	-118.1837
195	station.195	CE	14187	33.732	-118.258
196	station.196	CE	14221	33.8883	-118.4098
197	station.197	CE	14241	33.7772	-118.1334
198	station.198	CE	14242	33.84	-118.1952
199	station.199	CE	14256	33.729	-118.258
200	station.200	CE	14311	33.783	-118.11
201	station.201	CE	14368	33.9239	-118.1679
202	station.202	CE	14400	33.837	-118.0724
203	station.203	CE	14403	33.929	-118.2611
204	station.204	CE	14404	33.7455	-118.3969
205	station.205	CE	14405	33.7872	-118.3569
206	station.206	CE	14406	33.749	-118.272
207	station.207	CE	14532	33.738	-118.3063
208	station.208	CE	14533	33.768	-118.195
209	station.209	CE	14537	33.9517	-118.3362
210	station.210	CE	14560	33.7686	-118.1965
211	station.211	CE	14578	33.757	-118.085
212	station.212	CE	14606	33.975	-118.037
213	station.213	CE	14654	33.921	-118.391
214	station.214	CE	14724	33.923	-118.243
215	station.215	CE	14766	33.961	-118.379
216	station.216	CE	14767	33.9628	-118.3804
217	station.217	CE	14783	33.75	-118.275
218	station.218	CE	14784	33.75	-118.278
219	station.219	CE	14787	33.9244	-118.2394
220	station.220	CE	14820	33.9934	-118.3425
221	station.221	CE	14821	33.9686	-118.2912
222	station.222	CE	14822	33.945	-118.3811
223	station.223	CE	14823	33.944	-118.246
