NET	STA	CHA	LOC	STANAME	LAT	LON	ELEV	ONDATE	OFFDATE	EDEPTH	REALTIME
AZ	KNW	LHN	--	"Keenwild Fire Station, Mountai"	33.7141	-116.7119	1507	12/17/99	1/1/00	0	
AZ	KNW	LHZ	--	"Keenwild Fire Station, Mountai"	33.7141	-116.7119	1507	12/17/99	1/1/00	0	
AZ	LVA2	BHE	--	"Lost Valley Scout Camp, CA, US"	33.3516	-116.5615	1435	4/18/93	1/1/00	0	*realtime
AZ	LVA2	BHN	--	"Lost Valley Scout Camp, CA, US"	33.3516	-116.5615	1435	4/18/93	1/1/00	0	*realtime
AZ	LVA2	BHZ	--	"Lost Valley Scout Camp, CA, US"	33.3516	-116.5615	1435	4/18/93	1/1/00	0	*realtime
AZ	LVA2	HHE	--	"Lost Valley Scout Camp, CA, US"	33.3516	-116.5615	1435	4/18/93	1/1/00	0	*realtime
AZ	LVA2	HHN	--	"Lost Valley Scout Camp, CA, US"	33.3516	-116.5615	1435	4/18/93	1/1/00	0	*realtime
AZ	LVA2	HHZ	--	"Lost Valley Scout Camp, CA, US"	33.3516	-116.5615	1435	4/18/93	1/1/00	0	*realtime
AZ	LVA2	HLE	--	"Lost Valley Scout Camp, CA, US"	33.3516	-116.5615	1435	4/18/93	6/23/93	0	
AZ	LVA2	HLN	--	"Lost Valley Scout Camp, CA, US"	33.3516	-116.5615	1435	4/18/93	6/23/93	0	
AZ	LVA2	HLZ	--	"Lost Valley Scout Camp, CA, US"	33.3516	-116.5615	1435	4/18/93	6/23/93	0	
AZ	LVA2	HNE	--	"Lost Valley Scout Camp, CA, US"	33.3516	-116.5615	1435	1/4/02	1/1/00	0	*realtime
AZ	LVA2	HNN	--	"Lost Valley Scout Camp, CA, US"	33.3516	-116.5615	1435	1/4/02	1/1/00	0	*realtime
AZ	LVA2	HNZ	--	"Lost Valley Scout Camp, CA, US"	33.3516	-116.5615	1435	1/4/02	1/1/00	0	*realtime
AZ	LVA2	LHE	--	"Lost Valley Scout Camp, CA, US"	33.3516	-116.5615	1435	12/17/99	1/1/00	0	
AZ	LVA2	LHN	--	"Lost Valley Scout Camp, CA, US"	33.3516	-116.5615	1435	12/17/99	1/1/00	0	
AZ	LVA2	LHZ	--	"Lost Valley Scout Camp, CA, US"	33.3516	-116.5615	1435	12/17/99	1/1/00	0	
AZ	MONP	BHE	--	"Monument Peak, Mt. Laguna, CA,"	32.8927	-116.4225	1920	2/2/98	9/14/07	0	
AZ	MONP	BHN	--	"Monument Peak, Mt. Laguna, CA,"	32.8927	-116.4225	1920	2/2/98	9/14/07	0	
AZ	MONP	BHZ	--	"Monument Peak, Mt. Laguna, CA,"	32.8927	-116.4225	1920	2/2/98	9/14/07	0	
AZ	MONP	HHE	--	"Monument Peak, Mt. Laguna, CA,"	32.8927	-116.4225	1920	2/2/98	9/14/07	0	
AZ	MONP	HHN	--	"Monument Peak, Mt. Laguna, CA,"	32.8927	-116.4225	1920	2/2/98	9/14/07	0	
AZ	MONP	HHZ	--	"Monument Peak, Mt. Laguna, CA,"	32.8927	-116.4225	1920	2/2/98	9/14/07	0	
AZ	MONP	LHE	--	"Monument Peak, Mt. Laguna, CA,"	32.8927	-116.4225	1920	2/2/98	9/14/07	0	
AZ	MONP	LHN	--	"Monument Peak, Mt. Laguna, CA,"	32.8927	-116.4225	1920	2/2/98	9/14/07	0	
AZ	MONP	LHZ	--	"Monument Peak, Mt. Laguna, CA,"	32.8927	-116.4225	1920	2/2/98	9/14/07	0	
AZ	MONP2	BHE	--	"Monument Peak TA Vault, Mt. La"	32.892	-116.4223	1875	9/15/07	1/1/00	0	
AZ	MONP2	BHN	--	"Monument Peak TA Vault, Mt. La"	32.892	-116.4223	1875	9/15/07	1/1/00	0	
AZ	MONP2	BHZ	--	"Monument Peak TA Vault, Mt. La"	32.892	-116.4223	1875	9/15/07	1/1/00	0	
AZ	MONP2	HHE	--	"Monument Peak TA Vault, Mt. La"	32.892	-116.4223	1875	9/15/07	1/1/00	0	
AZ	MONP2	HHN	--	"Monument Peak TA Vault, Mt. La"	32.892	-116.4223	1875	9/15/07	1/1/00	0	
AZ	MONP2	HHZ	--	"Monument Peak TA Vault, Mt. La"	32.892	-116.4223	1875	9/15/07	1/1/00	0	
AZ	MONP2	HNE	--	"Monument Peak TA Vault, Mt. La"	32.892	-116.4223	1875	9/15/07	1/1/00	0	
AZ	MONP2	HNN	--	"Monument Peak TA Vault, Mt. La"	32.892	-116.4223	1875	9/15/07	1/1/00	0	
AZ	MONP2	HNZ	--	"Monument Peak TA Vault, Mt. La"	32.892	-116.4223	1875	9/15/07	1/1/00	0	
AZ	MONP2	LHE	--	"Monument Peak TA Vault, Mt. La"	32.892	-116.4223	1875	9/15/07	1/1/00	0	
AZ	MONP2	LHN	--	"Monument Peak TA Vault, Mt. La"	32.892	-116.4223	1875	9/15/07	1/1/00	0	
AZ	MONP2	LHZ	--	"Monument Peak TA Vault, Mt. La"	32.892	-116.4223	1875	9/15/07	1/1/00	0	
AZ	MTRP	HGE	--	"Mission Trails Regional Park,"	32.8203	-117.0567	200	2/2/02	2/17/10	0	
AZ	MTRP	HGN	--	"Mission Trails Regional Park,"	32.8203	-117.0567	200	2/2/02	2/17/10	0	
AZ	MTRP	HGZ	--	"Mission Trails Regional Park,"	32.8203	-117.0567	200	2/2/02	2/17/10	0	
AZ	MTRP	HNE	--	"Mission Trails Regional Park,"	32.8203	-117.0567	200	1/5/02	1/1/00	0	
AZ	MTRP	HNN	--	"Mission Trails Regional Park,"	32.8203	-117.0567	200	1/5/02	1/1/00	0	
AZ	MTRP	HNZ	--	"Mission Trails Regional Park,"	32.8203	-117.0567	200	1/5/02	1/1/00	0	
AZ	PFO	BHE	--	"Pinyon Flats Observatory, CA,"	33.6117	-116.4594	1259	5/23/93	1/1/00	0	*realtime
AZ	PFO	BHN	--	"Pinyon Flats Observatory, CA,"	33.6117	-116.4594	1259	5/23/93	1/1/00	0	*realtime
AZ	PFO	BHZ	--	"Pinyon Flats Observatory, CA,"	33.6117	-116.4594	1259	3/7/93	1/1/00	0	*realtime
AZ	PFO	EHE	--	"Pinyon Flats Observatory, CA,"	33.6117	-116.4594	1259	5/23/93	6/9/93	0	
AZ	PFO	EHN	--	"Pinyon Flats Observatory, CA,"	33.6117	-116.4594	1259	5/23/93	6/9/93	0	
