
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2020-08-05


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, whittier narrows
Station Name:, 
User-Defined Maximum Number of Records:, 80
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
47, RotD50, 635, -, 1.0, -, 6.4, 13.6, 0.3, "Whittier Narrows-01", 1987, "LA - Hollywood Stor FF", 5.99, Reverse Oblique, 19.22, 24.08, 316.46, 0.4125, 1.0, RSN635_WHITTIER.A_A-PEL000.AT2, RSN635_WHITTIER.A_A-PEL090.AT2 , RSN635_WHITTIER.A_A-PEL-UP.AT2  
48, RotD50, 636, -, 1.0, -, 4.5, 10.8, 0.0, "Whittier Narrows-01", 1987, "LA - N Faring Rd", 5.99, Reverse Oblique, 27.94, 31.48, 255.0, 0.33, 1.0, RSN636_WHITTIER.A_A-FAR000.AT2, RSN636_WHITTIER.A_A-FAR090.AT2 , RSN636_WHITTIER.A_A-FAR-UP.AT2  
49, RotD50, 637, -, 1.0, -, 3.4, 8.6, 0.4, "Whittier Narrows-01", 1987, "LA - N Figueroa St", 5.99, Reverse Oblique, 6.0, 16.53, 364.91, 0.4, 1.0, RSN637_WHITTIER.A_A-FIG058.AT2, RSN637_WHITTIER.A_A-FIG328.AT2 , RSN637_WHITTIER.A_A-FIG-UP.AT2  
50, RotD50, 638, -, 1.0, -, 2.8, 8.6, 0.5, "Whittier Narrows-01", 1987, "LA - N Westmoreland", 5.99, Reverse Oblique, 15.34, 21.11, 315.06, 0.0, 1.0, RSN638_WHITTIER.A_A-WST000.AT2, RSN638_WHITTIER.A_A-WST270.AT2 , RSN638_WHITTIER.A_A-WST-UP.AT2  
51, RotD50, 639, -, 1.0, -, 3.1, 8.0, 1.3, "Whittier Narrows-01", 1987, "LA - Obregon Park", 5.99, Reverse Oblique, 4.5, 15.18, 349.43, 0.2875, 1.0, RSN639_WHITTIER.A_A-OBR270.AT2, RSN639_WHITTIER.A_A-OBR360.AT2 , RSN639_WHITTIER.A_A-OBR-UP.AT2  
52, RotD50, 640, -, 1.0, -, 4.0, 11.0, 0.4, "Whittier Narrows-01", 1987, "LA - S Grand Ave", 5.99, Reverse Oblique, 14.46, 20.48, 285.28, 0.2, 1.0, RSN640_WHITTIER.A_A-GR2090.AT2, RSN640_WHITTIER.A_A-GR2180.AT2 , RSN640_WHITTIER.A_A-GR2-UP.AT2  
53, RotD50, 641, -, 1.0, -, 3.7, 12.0, 0.1, "Whittier Narrows-01", 1987, "LA - Saturn St", 5.99, Reverse Oblique, 20.35, 24.99, 308.71, 0.3, 1.0, RSN641_WHITTIER.A_A-STN020.AT2, RSN641_WHITTIER.A_A-STN110.AT2 , RSN641_WHITTIER.A_A-STN-UP.AT2  
54, RotD50, 642, -, 1.0, -, 6.0, 11.2, 0.3, "Whittier Narrows-01", 1987, "LA - W 70th St", 5.99, Reverse Oblique, 16.77, 22.17, 241.41, 0.33, 1.0, RSN642_WHITTIER.A_A-W70000.AT2, RSN642_WHITTIER.A_A-W70270.AT2 , RSN642_WHITTIER.A_A-W70-UP.AT2  
55, RotD50, 643, -, 1.0, -, 2.9, 7.1, 0.0, "Whittier Narrows-01", 1987, "LA - Wonderland Ave", 5.99, Reverse Oblique, 23.4, 27.64, 1222.52, 0.6, 1.0, RSN643_WHITTIER.A_A-WON075.AT2, RSN643_WHITTIER.A_A-WON165.AT2 , RSN643_WHITTIER.A_A-WON-UP.AT2  
56, RotD50, 644, -, 1.0, -, 15.6, 24.9, 0.1, "Whittier Narrows-01", 1987, "LB - Harbor Admin FF", 5.99, Reverse Oblique, 34.1, 37.05, 230.0, 0.1125, 1.0, RSN644_WHITTIER.A_A-HAR000.AT2, RSN644_WHITTIER.A_A-HAR090.AT2 , RSN644_WHITTIER.A_A-HAR-UP.AT2  
