
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2020-08-05


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, whittier narrows
Station Name:, 
User-Defined Maximum Number of Records:, 80
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
57, RotD50, 645, -, 1.0, -, 5.6, 11.7, 0.6, "Whittier Narrows-01", 1987, "LB - Orange Ave", 5.99, Reverse Oblique, 19.8, 24.54, 344.72, 0.13, 1.0, RSN645_WHITTIER.A_A-OR2010.AT2, RSN645_WHITTIER.A_A-OR2280.AT2 , RSN645_WHITTIER.A_A-OR2-UP.AT2  
58, RotD50, 646, -, 1.0, -, 2.3, 10.6, 0.4, "Whittier Narrows-01", 1987, "LB - Rancho Los Cerritos", 5.99, Reverse Oblique, 24.61, 28.56, 302.73, 0.25, 1.0, RSN646_WHITTIER.A_A-LBR000.AT2, RSN646_WHITTIER.A_A-LBR090.AT2 , RSN646_WHITTIER.A_A-LBR-UP.AT2  
59, RotD50, 647, -, 1.0, -, 10.1, 22.8, 0.1, "Whittier Narrows-01", 1987, "LB - Recreation Park", 5.99, Reverse Oblique, 30.4, 33.68, 282.0, 0.1625, 1.0, RSN647_WHITTIER.A_A-REC090.AT2, RSN647_WHITTIER.A_A-REC180.AT2 , RSN647_WHITTIER.A_A-REC-UP.AT2  
60, RotD50, 648, -, 1.0, -, 3.1, 5.9, 0.2, "Whittier Narrows-01", 1987, "La Crescenta - New York", 5.99, Reverse Oblique, 19.28, 26.04, 411.55, 0.5, 1.0, RSN648_WHITTIER.A_A-NYA090.AT2, RSN648_WHITTIER.A_A-NYA180.AT2 , RSN648_WHITTIER.A_A-NYA-UP.AT2  
61, RotD50, 649, -, 1.0, -, 5.2, 10.9, 0.2, "Whittier Narrows-01", 1987, "La Habra - Briarcliff", 5.99, Reverse Oblique, 14.17, 20.28, 338.27, 0.12, 1.0, RSN649_WHITTIER.A_A-BRC000.AT2, RSN649_WHITTIER.A_A-BRC090.AT2 , RSN649_WHITTIER.A_A-BRC-UP.AT2  
62, RotD50, 650, -, 1.0, -, 3.8, 14.1, 0.2, "Whittier Narrows-01", 1987, "La Puente - Rimgrove Av", 5.99, Reverse Oblique, 10.24, 17.75, 339.52, 0.5, 1.0, RSN650_WHITTIER.A_A-RIM015.AT2, RSN650_WHITTIER.A_A-RIM105.AT2 , RSN650_WHITTIER.A_A-RIM-UP.AT2  
63, RotD50, 651, -, 1.0, -, 8.2, 17.0, 0.0, "Whittier Narrows-01", 1987, "Lake Hughes #1", 5.99, Reverse Oblique, 69.59, 71.75, 425.34, 1.0, 1.0, RSN651_WHITTIER.A_A-L01000.AT2, RSN651_WHITTIER.A_A-L01090.AT2 ,  -----   
64, RotD50, 652, -, 1.0, -, 5.2, 12.0, 0.6, "Whittier Narrows-01", 1987, "Lakewood - Del Amo Blvd", 5.99, Reverse Oblique, 22.4, 26.68, 267.35, 0.3, 1.0, RSN652_WHITTIER.A_A-DEL000.AT2, RSN652_WHITTIER.A_A-DEL090.AT2 , RSN652_WHITTIER.A_A-DEL-UP.AT2  
65, RotD50, 653, -, 1.0, -, 5.5, 11.5, 0.0, "Whittier Narrows-01", 1987, "Lancaster - Med Off FF", 5.99, Reverse Oblique, 65.32, 67.62, 339.14, 0.2875, 1.0, RSN653_WHITTIER.A_A-LMD010.AT2, RSN653_WHITTIER.A_A-LMD100.AT2 , RSN653_WHITTIER.A_A-LMD-UP.AT2  
66, RotD50, 654, -, 1.0, -, 8.2, 12.3, 0.1, "Whittier Narrows-01", 1987, "Lawndale - Osage Ave", 5.99, Reverse Oblique, 26.31, 30.04, 311.86, 0.4, 1.0, RSN654_WHITTIER.A_A-LOA092.AT2, RSN654_WHITTIER.A_A-LOA182.AT2 , RSN654_WHITTIER.A_A-LOA-UP.AT2  
67, RotD50, 655, -, 1.0, -, 7.4, 14.0, 0.0, "Whittier Narrows-01", 1987, "Leona Valley #5 - Ritter", 5.99, Reverse Oblique, 56.48, 59.13, 375.22, 0.875, 1.0, RSN655_WHITTIER.A_A-LV5000.AT2, RSN655_WHITTIER.A_A-LV5090.AT2 , RSN655_WHITTIER.A_A-LV5-UP.AT2  
68, RotD50, 656, -, 1.0, -, 6.6, 14.7, 0.0, "Whittier Narrows-01", 1987, "Leona Valley #6", 5.99, Reverse Oblique, 56.97, 59.6, 327.44, 0.875, 1.0, RSN656_WHITTIER.A_A-LV6000.AT2, RSN656_WHITTIER.A_A-LV6090.AT2 , RSN656_WHITTIER.A_A-LV6-UP.AT2  
69, RotD50, 657, -, 1.0, -, 3.5, 7.4, 0.0, "Whittier Narrows-01", 1987, "Malibu - Las Flores Canyon", 5.99, Reverse Oblique, 46.43, 48.64, 578.11, 0.8, 1.0, RSN657_WHITTIER.A_A-LAS160.AT2, RSN657_WHITTIER.A_A-LAS250.AT2 , RSN657_WHITTIER.A_A-LAS-UP.AT2  
70, RotD50, 658, -, 1.0, -, 5.7, 15.1, 0.0, "Whittier Narrows-01", 1987, "Malibu - Point Dume Sch", 5.99, Reverse Oblique, 61.54, 63.23, 349.54, 0.25, 1.0, RSN658_WHITTIER.A_A-MAL180.AT2, RSN658_WHITTIER.A_A-MAL270.AT2 , RSN658_WHITTIER.A_A-MAL-UP.AT2  
71, RotD50, 659, -, 1.0, -, 10.7, 16.9, 0.0, "Whittier Narrows-01", 1987, "Malibu - W Pacific Cst Hwy", 5.99, Reverse Oblique, 60.35, 62.07, 436.53, 0.4, 1.0, RSN659_WHITTIER.A_A-WPA060.AT2, RSN659_WHITTIER.A_A-WPA150.AT2 , RSN659_WHITTIER.A_A-WPA-UP.AT2  
72, RotD50, 661, -, 1.0, -, 4.9, 11.5, 0.1, "Whittier Narrows-01", 1987, "Mill Creek_ Angeles Nat For", 5.99, Reverse Oblique, 32.36, 36.79, 569.84, 0.6, 1.0, RSN661_WHITTIER.A_A-ANG000.AT2, RSN661_WHITTIER.A_A-ANG090.AT2 , RSN661_WHITTIER.A_A-ANG-UP.AT2  
73, RotD50, 662, -, 1.0, -, 9.7, 17.9, 0.0, "Whittier Narrows-01", 1987, "Moorpark - Fire Sta", 5.99, Reverse Oblique, 72.62, 74.69, 341.58, 0.25, 1.0, RSN662_WHITTIER.A_A-MRP090.AT2, RSN662_WHITTIER.A_A-MRP180.AT2 , RSN662_WHITTIER.A_A-MRP-UP.AT2  
74, RotD50, 663, -, 1.0, -, 4.1, 9.8, 0.3, "Whittier Narrows-01", 1987, "Mt Wilson - CIT Seis Sta", 5.99, Reverse Oblique, 14.5, 22.73, 680.37, 0.2875, 1.0, RSN663_WHITTIER.A_A-MTW000.AT2, RSN663_WHITTIER.A_A-MTW090.AT2 , RSN663_WHITTIER.A_A-MTW-UP.AT2  
75, RotD50, 664, -, 1.0, -, 5.4, 11.0, 0.3, "Whittier Narrows-01", 1987, "N Hollywood - Coldwater Can", 5.99, Reverse Oblique, 28.37, 33.11, 326.47, 0.3, 1.0, RSN664_WHITTIER.A_A-CWC180.AT2, RSN664_WHITTIER.A_A-CWC270.AT2 , RSN664_WHITTIER.A_A-CWC-UP.AT2  
76, RotD50, 665, -, 1.0, -, 9.1, 17.2, 0.0, "Whittier Narrows-01", 1987, "Newhall - Fire Sta", 5.99, Reverse Oblique, 49.18, 52.2, 269.14, 0.5, 1.0, RSN665_WHITTIER.A_A-NWH180.AT2, RSN665_WHITTIER.A_A-NWH270.AT2 , RSN665_WHITTIER.A_A-NWH-UP.AT2  
77, RotD50, 666, -, 1.0, -, 6.8, 12.3, 0.1, "Whittier Narrows-01", 1987, "Newhall - W Pico Canyon Rd.", 5.99, Reverse Oblique, 55.93, 58.61, 285.93, 0.34, 1.0, RSN666_WHITTIER.A_A-WPI046.AT2, RSN666_WHITTIER.A_A-WPI316.AT2 , RSN666_WHITTIER.A_A-WPI-UP.AT2  
78, RotD50, 667, -, 1.0, -, 9.8, 20.3, 0.2, "Whittier Narrows-01", 1987, "Northridge - 17645 Saticoy St", 5.99, Reverse Oblique, 38.04, 41.69, 280.86, 0.23, 1.0, RSN667_WHITTIER.A_A-STC090.AT2, RSN667_WHITTIER.A_A-STC180.AT2 , RSN667_WHITTIER.A_A-STC-UP.AT2  
79, RotD50, 668, -, 1.0, -, 6.0, 12.2, 0.3, "Whittier Narrows-01", 1987, "Norwalk - Imp Hwy_ S Grnd", 5.99, Reverse Oblique, 14.37, 20.42, 279.46, 0.25, 1.0, RSN668_WHITTIER.A_A-NOR090.AT2, RSN668_WHITTIER.A_A-NOR360.AT2 , RSN668_WHITTIER.A_A-NOR-UP.AT2  
80, RotD50, 669, -, 1.0, -, 3.2, 9.6, 0.3, "Whittier Narrows-01", 1987, "Orange Co. Reservoir", 5.99, Reverse Oblique, 17.65, 22.84, 415.69, 0.75, 1.0, RSN669_WHITTIER.A_A-ORN006.AT2, RSN669_WHITTIER.A_A-ORN096.AT2 , RSN669_WHITTIER.A_A-ORN-UP.AT2  
81, RotD50, 670, -, 1.0, -, 6.3, 13.0, 0.0, "Whittier Narrows-01", 1987, "Pacific Palisades - Sunset", 5.99, Reverse Oblique, 38.7, 41.32, 191.06, 0.4, 1.0, RSN670_WHITTIER.A_A-SUN190.AT2, RSN670_WHITTIER.A_A-SUN280.AT2 , RSN670_WHITTIER.A_A-SUN-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-589 RotD50 pSa (g),RSN-590 RotD50 pSa (g),RSN-591 RotD50 pSa (g),RSN-592 RotD50 pSa (g),RSN-593 RotD50 pSa (g),RSN-594 RotD50 pSa (g),RSN-595 RotD50 pSa (g),RSN-596 RotD50 pSa (g),RSN-597 RotD50 pSa (g),RSN-598 RotD50 pSa (g),RSN-599 RotD50 pSa (g),RSN-600 RotD50 pSa (g),RSN-601 RotD50 pSa (g),RSN-602 RotD50 pSa (g),RSN-603 RotD50 pSa (g),RSN-604 RotD50 pSa (g),RSN-605 RotD50 pSa (g),RSN-606 RotD50 pSa (g),RSN-607 RotD50 pSa (g),RSN-608 RotD50 pSa (g),RSN-609 RotD50 pSa (g),RSN-610 RotD50 pSa (g),RSN-611 RotD50 pSa (g),RSN-612 RotD50 pSa (g),RSN-613 RotD50 pSa (g),RSN-614 RotD50 pSa (g),RSN-615 RotD50 pSa (g),RSN-616 RotD50 pSa (g),RSN-617 RotD50 pSa (g),RSN-618 RotD50 pSa (g),RSN-619 RotD50 pSa (g),RSN-620 RotD50 pSa (g),RSN-621 RotD50 pSa (g),RSN-622 RotD50 pSa (g),RSN-623 RotD50 pSa (g),RSN-624 RotD50 pSa (g),RSN-625 RotD50 pSa (g),RSN-626 RotD50 pSa (g),RSN-627 RotD50 pSa (g),RSN-628 RotD50 pSa (g),RSN-629 RotD50 pSa (g),RSN-630 RotD50 pSa (g),RSN-631 RotD50 pSa (g),RSN-632 RotD50 pSa (g),RSN-633 RotD50 pSa (g),RSN-634 RotD50 pSa (g),RSN-635 RotD50 pSa (g),RSN-636 RotD50 pSa (g),RSN-637 RotD50 pSa (g),RSN-638 RotD50 pSa (g),RSN-639 RotD50 pSa (g),RSN-640 RotD50 pSa (g),RSN-641 RotD50 pSa (g),RSN-642 RotD50 pSa (g),RSN-643 RotD50 pSa (g),RSN-644 RotD50 pSa (g),RSN-645 RotD50 pSa (g),RSN-646 RotD50 pSa (g),RSN-647 RotD50 pSa (g),RSN-648 RotD50 pSa (g),RSN-649 RotD50 pSa (g),RSN-650 RotD50 pSa (g),RSN-651 RotD50 pSa (g),RSN-652 RotD50 pSa (g),RSN-653 RotD50 pSa (g),RSN-654 RotD50 pSa (g),RSN-655 RotD50 pSa (g),RSN-656 RotD50 pSa (g),RSN-657 RotD50 pSa (g),RSN-658 RotD50 pSa (g),RSN-659 RotD50 pSa (g),RSN-661 RotD50 pSa (g),RSN-662 RotD50 pSa (g),RSN-663 RotD50 pSa (g),RSN-664 RotD50 pSa (g),RSN-665 RotD50 pSa (g),RSN-666 RotD50 pSa (g),RSN-667 RotD50 pSa (g),RSN-668 RotD50 pSa (g),RSN-669 RotD50 pSa (g),RSN-670 RotD50 pSa (g)
0.01,0.1391226,0.26538866,0.07293114,0.3132195,0.2276249,0.05709629,0.2800302,0.08947502,0.110625,0.2323006,0.1136348,0.1149779,0.1711144,0.108076,0.2589517,0.131556,0.1878198,0.03922024,0.1330038,0.1118213,0.1801831,0.04760699,0.1127649,0.03786541,0.06818947,0.3212893,0.0668397,0.1037343,0.3192137,0.1839359,0.2126099,0.08722839,0.06483576,0.4368885,0.2316974,0.1024673,0.1965053,0.03511157,0.04483424,0.2455257,0.3072758,0.1548977,0.0584096,0.09223905,0.06356636,0.02935404,0.1431037,0.1612059,0.203722,0.1522457,0.05600937,0.157956,0.2137935,0.4087358,0.1876202,0.138248,0.1615279,0.04680806,0.05752895,0.2147678,0.1776737,0.05733592,0.1547019,0.1543434,0.1369948,0.03343938,0.2665686,0.06160791,0.05533185,0.05064462,0.04021394,0.05885395,0.04462908,0.03891309,0.08802791,0.04777451,0.1599574,0.1776472,0.05471712,0.0680946,0.1296825,0.1831751,0.1931748,0.04653728
0.02,0.14093427,0.26876599,0.07390246,0.3250715,0.2318868,0.05742447,0.282777,0.09053387,0.1117154,0.2378045,0.1141621,0.1157409,0.1750809,0.1090385,0.2611226,0.1328944,0.1891124,0.03951865,0.1338711,0.1135836,0.1816787,0.04843159,0.1135552,0.03809932,0.06863911,0.3220958,0.06820042,0.1045313,0.3210237,0.183913,0.2149916,0.08770846,0.06557312,0.441905,0.233989,0.1047923,0.2028236,0.03581524,0.04585672,0.2479711,0.3102163,0.1563953,0.06180333,0.09340008,0.06426331,0.02958228,0.1452302,0.1622211,0.2052263,0.1558673,0.05688711,0.1596053,0.2187491,0.4139538,0.1904773,0.1415589,0.1625225,0.04852292,0.0579056,0.2163184,0.1813142,0.05808966,0.1565657,0.1558935,0.1384758,0.03367697,0.2673425,0.06241023,0.05593387,0.05105824,0.0405362,0.05982365,0.04503557,0.0392578,0.08932152,0.04815812,0.1697595,0.1795908,0.05499535,0.06842083,0.1309296,0.184259,0.194194,0.04699406
0.022,0.14163629,0.2702097,0.07424175,0.324689,0.2325337,0.05769336,0.2827131,0.09074252,0.1120847,0.2430766,0.1146156,0.1158842,0.1759531,0.1094405,0.2617396,0.1333697,0.1897388,0.03955037,0.134615,0.1148913,0.1823287,0.04867072,0.114058,0.03817572,0.06860921,0.3242078,0.06855322,0.1047282,0.3206849,0.1846844,0.2153751,0.08773087,0.06611314,0.442868,0.2375375,0.1068965,0.2017549,0.03606216,0.04624733,0.2476753,0.3117481,0.1579492,0.06294713,0.09392199,0.06439501,0.02961077,0.1462656,0.1626383,0.2084929,0.1568615,0.05689795,0.1598845,0.2261079,0.4190516,0.1915191,0.1415099,0.163034,0.04873371,0.05782032,0.2163288,0.1813202,0.05806943,0.15658,0.1552651,0.138603,0.03364697,0.2673752,0.06231302,0.05607821,0.05100636,0.04085948,0.06018981,0.04507389,0.03949928,0.0898062,0.0481573,0.1751841,0.1804261,0.05498471,0.06854348,0.1314152,0.1847724,0.1943329,0.04702635
0.025,0.14286746,0.2725959,0.07487681,0.32736,0.2328846,0.05782153,0.2845368,0.09200169,0.1130827,0.2608125,0.115048,0.1165189,0.177904,0.1094159,0.2626228,0.1338469,0.1910263,0.03957786,0.1348216,0.1153317,0.1827263,0.04960939,0.1139356,0.03810982,0.06885257,0.3263403,0.06879339,0.1054586,0.3224759,0.1847732,0.2170597,0.08797453,0.06710007,0.4445219,0.2398416,0.1055722,0.201694,0.03633408,0.04637016,0.2512987,0.3113546,0.160065,0.06539368,0.09526929,0.06461992,0.02941445,0.1458153,0.1620993,0.2107461,0.1572708,0.05674932,0.1609022,0.2289062,0.4208855,0.1971558,0.1420668,0.1635723,0.04890582,0.05753463,0.2174814,0.1856179,0.05854791,0.1572462,0.1568156,0.1393594,0.03390635,0.2681008,0.06272349,0.05716591,0.05147455,0.04210937,0.06077928,0.045118,0.03982734,0.08977376,0.04827211,0.1911984,0.1801213,0.05554619,0.06857332,0.1319798,0.1854718,0.1954305,0.04744114
0.029,0.14490227,0.27726772,0.07572706,0.3371019,0.2366894,0.05880101,0.2836124,0.09155946,0.1167833,0.2884119,0.1157864,0.1167458,0.1846003,0.1090825,0.26492,0.1349334,0.1955733,0.03982699,0.1354279,0.1168333,0.1845612,0.05233958,0.1148172,0.03821845,0.06941005,0.3309818,0.07067981,0.1059598,0.3237258,0.1852884,0.2139262,0.08803198,0.06885681,0.4521204,0.2489635,0.1053219,0.2019326,0.03733811,0.04737413,0.2571198,0.3136283,0.1608299,0.06484341,0.09732601,0.06547403,0.02950028,0.1485732,0.1654354,0.2115804,0.1598468,0.05762472,0.1635905,0.2261246,0.4289379,0.1958106,0.1411257,0.1666974,0.05226258,0.05811805,0.2205647,0.1874001,0.05871504,0.1620018,0.1590209,0.1398052,0.03428553,0.2699715,0.06330522,0.05743399,0.05170703,0.04285783,0.06158033,0.04551221,0.03981541,0.09092981,0.04843979,0.1978821,0.1859424,0.05549005,0.06916705,0.1328876,0.1870628,0.1962733,0.04804575
0.03,0.145711,0.27912544,0.07606507,0.3430984,0.2411483,0.05874165,0.2836353,0.09077923,0.1171646,0.2911612,0.1158131,0.1171086,0.1846131,0.1097635,0.265341,0.1349144,0.197542,0.04007626,0.1354457,0.1176954,0.1851719,0.05200294,0.1160208,0.03827991,0.06940308,0.3312778,0.07156907,0.1059934,0.3250054,0.1856227,0.2139955,0.08812695,0.06894901,0.4504604,0.2529663,0.1058402,0.2023454,0.03729432,0.04759266,0.269002,0.3162944,0.1611872,0.064271,0.09808108,0.06555711,0.02938131,0.1502421,0.1667874,0.210708,0.1617171,0.05786948,0.1652991,0.2278741,0.4306537,0.1984867,0.141294,0.1664497,0.05283352,0.05800046,0.2190038,0.1925633,0.05873922,0.1628213,0.1594485,0.1400451,0.03408583,0.2699368,0.06313629,0.05710575,0.0519226,0.04264558,0.06194685,0.04556661,0.03984559,0.09135713,0.04874844,0.2027945,0.1860676,0.05555163,0.06942809,0.1331856,0.1873567,0.1972878,0.04805123
0.032,0.14756024,0.28275488,0.07700672,0.3603941,0.2481543,0.05790132,0.2786019,0.09139899,0.118289,0.3042321,0.1156974,0.1171651,0.1840429,0.1100113,0.2662281,0.1360049,0.1993976,0.04008649,0.1353964,0.1191152,0.1867732,0.05312649,0.1164605,0.03828783,0.06961633,0.3349922,0.07273158,0.1063779,0.3235768,0.1905054,0.2222569,0.08819976,0.06948742,0.4588647,0.2504863,0.1094142,0.2102221,0.03769652,0.04761258,0.2728957,0.3174414,0.165898,0.06773029,0.09978304,0.06595956,0.02985791,0.1521266,0.1652763,0.2110908,0.1657173,0.05802843,0.1648565,0.227802,0.4247833,0.2110292,0.1479739,0.1657359,0.05337909,0.05880519,0.2219153,0.2041782,0.05920534,0.1640032,0.1602147,0.1410172,0.03415608,0.269072,0.06335124,0.05739468,0.05252355,0.0432008,0.06242557,0.0457727,0.03978581,0.09555593,0.04876159,0.2146736,0.1855581,0.05601219,0.06941654,0.1337634,0.1881142,0.1993901,0.0479412
0.035,0.14988045,0.28664306,0.07836976,0.3825887,0.2592156,0.0589864,0.2845814,0.09308804,0.1230893,0.2994601,0.1181653,0.117135,0.1818395,0.1114329,0.2671781,0.1379657,0.1983335,0.04100762,0.1361995,0.1366314,0.1868964,0.05224449,0.1165317,0.03821101,0.06979866,0.337522,0.07601494,0.1057526,0.3218983,0.1917775,0.2265844,0.08831429,0.0697068,0.4559664,0.2407592,0.1120616,0.2189361,0.03867267,0.04820579,0.2742701,0.3293498,0.1588673,0.06397276,0.1013008,0.06681908,0.03071176,0.1588399,0.1692235,0.2108605,0.1733837,0.05864774,0.1699359,0.2342739,0.4218961,0.2234386,0.1542814,0.1731948,0.05509486,0.05855405,0.224099,0.2142678,0.06012148,0.1669544,0.15877,0.1424913,0.03432247,0.2667136,0.0643749,0.05763303,0.05228782,0.04415675,0.06351653,0.04591358,0.04002903,0.09696976,0.04903586,0.2443492,0.1897475,0.05614052,0.06947376,0.1340607,0.1894229,0.1965386,0.0492561
0.036,0.15127324,0.28818625,0.07940556,0.3819789,0.2625573,0.05957413,0.2868537,0.09391782,0.1254201,0.3007799,0.1184638,0.1172454,0.1810824,0.1117871,0.2668747,0.1381824,0.1993622,0.04156258,0.1364875,0.1597599,0.1873686,0.05271559,0.1161762,0.03814869,0.0700037,0.33858,0.07749266,0.1054842,0.3195827,0.1922879,0.2275744,0.08830074,0.06971232,0.4480656,0.250111,0.1129115,0.2210265,0.03939565,0.04822041,0.2770885,0.3292783,0.1620364,0.06715591,0.102569,0.06724122,0.0310411,0.1610472,0.1721634,0.2117368,0.175821,0.05923145,0.1705134,0.2370053,0.4216209,0.223776,0.155114,0.1750615,0.0566988,0.05844921,0.2235553,0.2184945,0.0602797,0.16806,0.1587249,0.1434831,0.03426672,0.2671346,0.06468471,0.05781314,0.05210152,0.04482779,0.06367045,0.04584694,0.04045345,0.0987575,0.04907512,0.2768342,0.1913173,0.05605936,0.06969121,0.134444,0.1894975,0.1948645,0.04949696
0.04,0.15757509,0.30357995,0.08179034,0.3989366,0.2484052,0.05948466,0.2944735,0.09785623,0.1374303,0.3118658,0.1192863,0.121276,0.1990736,0.1146653,0.2667038,0.1432716,0.211482,0.04281312,0.1378527,0.164238,0.2018651,0.05928191,0.1191063,0.0380711,0.07099127,0.3435768,0.07944301,0.1074415,0.3412552,0.1945976,0.2141207,0.09032686,0.07085822,0.4799862,0.2824811,0.1198728,0.2409241,0.04389795,0.05041468,0.2927313,0.3592992,0.175878,0.06985347,0.1121904,0.06845351,0.03078336,0.1626816,0.1711132,0.224092,0.1816822,0.06048982,0.1758384,0.2423697,0.44335,0.2345367,0.1609115,0.178904,0.06414094,0.05906212,0.2294813,0.2381396,0.05959674,0.1715715,0.1642368,0.1465081,0.03446155,0.2718314,0.06496336,0.0608721,0.05302467,0.04760677,0.06431251,0.04641852,0.04166475,0.1006691,0.04901119,0.3327893,0.1914132,0.05606729,0.07063752,0.1392174,0.1939298,0.1983097,0.0508594
0.042,0.16097816,0.31443102,0.08241543,0.3873985,0.2435549,0.05946939,0.291089,0.0983116,0.1459799,0.333544,0.1230537,0.1222515,0.2101857,0.1161242,0.2701108,0.1486678,0.219187,0.04273919,0.138331,0.1358461,0.2074479,0.06005615,0.1230382,0.03854021,0.07126986,0.3435693,0.0809663,0.1098996,0.3417902,0.1938937,0.2226467,0.09113183,0.07164823,0.5097708,0.2982036,0.1228231,0.2403313,0.04321193,0.05243884,0.3035658,0.3779626,0.1766919,0.06953036,0.1118433,0.06873158,0.03165996,0.1661768,0.1726808,0.229063,0.1839542,0.06067461,0.1797938,0.2500493,0.4750853,0.2603631,0.1651918,0.177715,0.06851438,0.0599619,0.2292279,0.2313351,0.06131233,0.1742796,0.1679326,0.1473096,0.03493151,0.2701111,0.06513415,0.06241728,0.05416367,0.05042662,0.06401677,0.04649504,0.04242308,0.1016958,0.0499894,0.3793888,0.1912287,0.05699822,0.07155374,0.1407121,0.193774,0.2026439,0.05199851
0.044,0.16361622,0.31950229,0.0837874,0.391968,0.2490441,0.06096264,0.2900779,0.09458841,0.1456228,0.3376587,0.1222502,0.1222247,0.2070285,0.1178674,0.2788539,0.1498097,0.2301549,0.04237335,0.138518,0.1306722,0.2069664,0.06498085,0.1261749,0.03861744,0.0715018,0.3455631,0.08318648,0.1147072,0.3490913,0.1939257,0.2275822,0.09162045,0.0732951,0.5181705,0.3275204,0.1265334,0.2444306,0.05132927,0.05361976,0.3318911,0.3906851,0.184545,0.07176855,0.1151695,0.06931523,0.03202142,0.1689575,0.1802372,0.2319622,0.1869164,0.06111673,0.1876814,0.2608845,0.4807687,0.276051,0.1735858,0.172287,0.07377042,0.05993313,0.2346618,0.2186474,0.062876,0.1716795,0.1696052,0.1479402,0.03544427,0.2732638,0.06704953,0.06458765,0.05391982,0.0531853,0.064743,0.04744032,0.0427604,0.1026794,0.05026912,0.3489258,0.1912676,0.05721854,0.07149271,0.1422778,0.1941987,0.2069198,0.05181983
0.045,0.16503738,0.32257094,0.08443829,0.397133,0.2567108,0.06100657,0.2889164,0.0959759,0.143233,0.3427564,0.1209208,0.1222689,0.2069193,0.1177219,0.2827471,0.1496446,0.2363602,0.04209397,0.1388572,0.1276835,0.2050895,0.07016737,0.1277638,0.03863734,0.07168031,0.3521096,0.08249218,0.1159139,0.3461038,0.198235,0.2334772,0.09182546,0.07288853,0.5179806,0.3432897,0.1291426,0.2558909,0.05436591,0.05397953,0.3326894,0.396223,0.1854464,0.07361189,0.1222321,0.069796,0.03257421,0.1709775,0.1835832,0.2307736,0.1890592,0.06102882,0.1876619,0.2608474,0.4882616,0.2796945,0.1753026,0.1724968,0.07284839,0.06029871,0.2365374,0.2177887,0.06341197,0.1691742,0.1678732,0.148604,0.03609621,0.277232,0.06727245,0.06682231,0.05454385,0.05199834,0.06532311,0.04793316,0.04294161,0.1064163,0.05048079,0.3430331,0.190638,0.05705336,0.07119136,0.1432536,0.1933076,0.2093759,0.05233547
0.046,0.16642356,0.32511674,0.08519033,0.4011323,0.2714542,0.06087628,0.2873051,0.09972163,0.1391246,0.3487268,0.1188072,0.1219241,0.2056315,0.1184866,0.2829635,0.1473624,0.2389623,0.0419898,0.1395579,0.1248456,0.2042854,0.07515294,0.1293359,0.03869422,0.07174506,0.3668516,0.08082645,0.1159435,0.3505822,0.2040719,0.2410286,0.09219331,0.07210178,0.5174041,0.353744,0.132031,0.266993,0.05589256,0.0547301,0.3250567,0.3997108,0.1849278,0.07617603,0.1251507,0.06985687,0.03356097,0.172906,0.1866623,0.2285257,0.1925729,0.06166836,0.1874842,0.2573015,0.4875825,0.2888619,0.1740661,0.1770581,0.07387935,0.06085631,0.2378979,0.2221284,0.06363466,0.1735294,0.167136,0.1499358,0.03658142,0.2793061,0.06774916,0.06765635,0.05507584,0.05219337,0.06601803,0.04825035,0.0431435,0.1091739,0.05084653,0.3327483,0.1908208,0.05717636,0.07100638,0.143716,0.1919982,0.2131811,0.05306025
