longitude latitude PGA(g)	
101.309330 -1.245020 0.158062
101.309330 -1.045020 0.154361
101.309330 -0.845020 0.152045
101.309330 -0.645020 0.150628
101.309330 -0.445020 0.149376
101.309330 -0.245020 0.148014
101.309330 -0.045020 0.146896
101.309330 0.154980 0.145899
101.309330 0.354980 0.145054
101.309330 0.554980 0.144346
101.309330 0.754980 0.143724
101.309330 0.954980 0.143152
101.309330 1.154980 0.142578
101.309330 1.354980 0.142022
101.309330 1.554980 0.141477
101.309330 1.754980 0.140919
101.309330 1.954980 0.140387
101.309330 3.154980 0.119725
101.309330 3.354980 0.115603
101.309330 3.554980 0.097305
101.309330 3.754980 0.090715
101.309330 3.954980 0.079609
101.309330 4.154980 0.065416
101.309330 4.354980 0.053896
101.309330 4.554980 0.044863
101.309330 4.754980 0.037860
101.309330 4.954980 0.032365
101.309330 5.154980 0.027923
101.309330 5.354980 0.024290
101.309330 5.554980 0.021823
101.309330 5.754980 0.019321
101.509330 -3.045020 0.251365
101.509330 -2.845020 0.225840
101.509330 -2.645020 0.212576
101.509330 -2.445020 0.196372
101.509330 -2.245020 0.182980
101.509330 -2.045020 0.171845
101.509330 -1.845020 0.163112
101.509330 -1.645020 0.158504
101.509330 -1.445020 0.155550
101.509330 -1.245020 0.153074
101.509330 -1.045020 0.151116
101.509330 -0.845020 0.149675
101.509330 -0.645020 0.148392
101.509330 -0.445020 0.147732
101.509330 -0.245020 0.147504
101.509330 -0.045020 0.146708
101.509330 0.154980 0.145963
101.509330 0.354980 0.145267
101.509330 0.554980 0.144640
101.509330 0.754980 0.144049
101.509330 0.954980 0.143509
101.509330 1.154980 0.142942
101.509330 1.354980 0.142396
101.509330 1.554980 0.141846
101.509330 1.754980 0.136027
101.509330 1.954980 0.122645
101.509330 2.754980 0.117172
101.509330 2.954980 0.098511
101.509330 3.154980 0.093817
101.509330 3.354980 0.091484
101.509330 3.554980 0.080249
101.509330 3.754980 0.069488
101.509330 3.954980 0.063054
101.509330 4.154980 0.054116
101.509330 4.354980 0.045022
101.509330 4.554980 0.037994
101.509330 4.754980 0.032464
101.509330 4.954980 0.028021
101.509330 5.154980 0.024355
101.509330 5.354980 0.021887
101.509330 5.554980 0.019403
101.509330 5.754980 0.016756
101.709330 -3.245020 0.250182
101.709330 -3.045020 0.216653
101.709330 -2.845020 0.193997
101.709330 -2.645020 0.187715
101.709330 -2.445020 0.179719
101.709330 -2.245020 0.169804
101.709330 -2.045020 0.161273
101.709330 -1.845020 0.155661
